type,difficulty,category,question,correct_answer,incorrect_answers
boolean,medium,General Knowledge,Instant mashed potatoes were invented by Canadian Edward Asselbergs in 1962.,True,"[""False""]"
boolean,medium,General Knowledge,The pickled gherkin was first added to hamburgers because a US health law required all fast-food to include a source of Vitamin C.,False,"[""True""]"
boolean,easy,General Knowledge,Adolf Hitler was born in Australia.,False,"[""True""]"
boolean,easy,General Knowledge,The National Animal of Scotland is the Unicorn.,True,"[""False""]"
boolean,medium,General Knowledge,"The French word to travel is ""Travail""",False,"[""True""]"
boolean,hard,Entertainment: Books,"In Harry Potter and the Deathly Hallows, Hermione destroyed the fourth Horcrux by stabbing it with the Sword of Gryffindor.",False,"[""True""]"
boolean,hard,Entertainment: Books,"Harry Potter was born on July 31st, 1980.",True,"[""False""]"
boolean,easy,Entertainment: Books,"The ""Berenstein Bears"" is the correct spelling of the educational children's book series' name.",False,"[""True""]"
boolean,easy,Entertainment: Books,"""Green Eggs and Ham"" consists of only 50 different words.",True,"[""False""]"
boolean,easy,Entertainment: Books,Stephen Chbosky wrote the book 'The Perks of Being A Wallflower'.,True,"[""False""]"
boolean,easy,Entertainment: Books,"""Elementary, my dear Watson"" is a phrase that is never truly said within the Conan Doyle books of Sherlock Holmes.",True,"[""False""]"
boolean,easy,Entertainment: Books,"Shub-Niggurath is a creature that was created by 	J. R. R. Tolkien in his novel ""The Lord of The Rings"".",False,"[""True""]"
boolean,medium,Entertainment: Books,"Originally, the character Charlie from Charlie and the Chocolate Factory was going to be black.",True,"[""False""]"
boolean,easy,Entertainment: Books,The book 1984 was published in 1949.,True,"[""False""]"
boolean,easy,Entertainment: Books,"The Harry Potter series of books, combined, are over 1,000,000 words in length.",True,"[""False""]"
boolean,medium,Entertainment: Film,"The movie ""Tron"" received an Oscar nomination for Best Visual Effects.",False,"[""True""]"
boolean,easy,Entertainment: Film,"In the original Star Wars trilogy, Alec Guinness provided the voice for Darth Vader.",False,"[""True""]"
boolean,easy,Entertainment: Film,"Samuel L. Jackson had the words, 'Bad Motherf*cker' in-scripted on his lightsaber during the filming of Star Wars.",True,"[""False""]"
boolean,easy,Entertainment: Film,"Brandon Routh plays the titular character in the movie ""John Wick"".",False,"[""True""]"
boolean,hard,Entertainment: Film,"The weapon Clint Eastwood uses in ""Dirty Harry"" was a .44 Automag.",False,"[""True""]"
boolean,easy,Entertainment: Film,Ewan McGregor did not know the name of the second prequel film of Star Wars during and after filming.,True,"[""False""]"
boolean,easy,Entertainment: Film,"Leonardo DiCaprio won an Oscar for Best Actor in 2004's ""The Aviator"".",False,"[""True""]"
boolean,easy,Entertainment: Film,"The 2010 film ""The Social Network"" is a biographical drama film about MySpace founder Tom Anderson.",False,"[""True""]"
boolean,easy,Entertainment: Film,"In the original script of ""The Matrix"", the machines used humans as additional computing power instead of batteries.",True,"[""False""]"
boolean,hard,Entertainment: Film,"""Cube"", ""Cube 2: Hypercube"" and ""Cube Zero"" were directed by the same person.",False,"[""True""]"
boolean,medium,Entertainment: Film,The color of the pills in the Matrix were Blue and Yellow.,False,"[""True""]"
boolean,easy,Entertainment: Film,Actor Tommy Chong served prison time.,True,"[""False""]"
boolean,easy,Entertainment: Film,"""Minions"" was released on the June 10th, 2015.",False,"[""True""]"
boolean,easy,Entertainment: Film,Matt Damon played an astronaut stranded on an extraterrestrial planet in both of the movies Interstellar and The Martian.,True,"[""False""]"
boolean,easy,Entertainment: Film,"In the original Star Wars trilogy, David Prowse was the actor who physically portrayed Darth Vader.",True,"[""False""]"
boolean,easy,Entertainment: Film,In Alfred Hitchcock's film 'Psycho' it is said he used chocolate syrup to simulate the blood in the famous shower scene from,True,"[""False""]"
boolean,medium,Entertainment: Film,"The Xenomorph from the science fiction film ""Alien"" has acidic blood.",True,"[""False""]"
boolean,medium,Entertainment: Film,"There aren't any live-action clones in ""Star Wars: Episode III - Revenge of the Sith"".",True,"[""False""]"
boolean,easy,Entertainment: Film,"In the movie The Revenant, DiCaprio's character hunts down the killer of his son.",True,"[""False""]"
boolean,easy,Entertainment: Film,"The movie ""The Nightmare before Christmas"" was all done with physical objects.",True,"[""False""]"
boolean,hard,Entertainment: Music,"The song ""Mystery Train"" was released by artist ""Little Junior's Blue Flames"" in 1953.",True,"[""False""]"
boolean,easy,Entertainment: Music,"In 1993, Prince changed his name to an unpronounceable symbol because he was unhappy with his contract with Warner Bros.",True,"[""False""]"
boolean,easy,Entertainment: Music,American rapper Dr. Dre actually has a Ph.D. doctorate.,False,"[""True""]"
boolean,medium,Entertainment: Music,"3 members of 2 Live Crew were arrested for playing songs from their album, As Nasty As They Wanna Be, live.",True,"[""False""]"
boolean,medium,Entertainment: Music,EDM label Monstercat signs tracks instead of artists.,True,"[""False""]"
boolean,hard,Entertainment: Music,"Pete Townshend's solo album, ""White City: A Novel"", is set in the metropolitan area of Chicago.",False,"[""True""]"
boolean,easy,Entertainment: Music,"The alternative rock band, They Might Be Giants, released their album 'Flood' in 1990.",True,"[""False""]"
boolean,easy,Entertainment: Music,Scatman John's real name was John Paul Larkin.,True,"[""False""]"
boolean,easy,Entertainment: Music,Eurobeat is primarily an Italian genre of music.,True,"[""False""]"
boolean,medium,Entertainment: Music,Ashley Frangipane performs under the stage name Halsey.,True,"[""False""]"
boolean,medium,Entertainment: Music,"""The Division Bell"" is the final album of the progressive rock band Pink Floyd.",False,"[""True""]"
boolean,easy,Entertainment: Music,Stevie Wonder's real name is Stevland Hardaway Morris.,True,"[""False""]"
boolean,medium,Entertainment: Music,Arcade Fire's 'The Suburbs' won the Album of the Year award in the 2011 Grammys.,True,"[""False""]"
boolean,hard,Entertainment: Music,The band STRFKR was also briefly known as Pyramiddd.,True,"[""False""]"
boolean,easy,Entertainment: Music,A Saxophone is a brass instrument.,False,"[""True""]"
boolean,medium,Entertainment: Music,Nick Mason is the only member to appear on every Pink Floyd album.,True,"[""False""]"
boolean,easy,Entertainment: Music,Muse is a British (English) rock band,True,"[""False""]"
boolean,medium,Entertainment: Music,Metallica collaborated with Rowan Atkinson's Mr Bean on a 1992 comic relief single.,False,"[""True""]"
boolean,medium,Entertainment: Music,Soulja Boy's 'Crank That' won a Grammy for Best Rap Song in 2007.,False,"[""True""]"
boolean,easy,Entertainment: Music,Lead Singer Rivers Cuomo of American rock band Weezer attended Harvard.,True,"[""False""]"
boolean,medium,Entertainment: Music,"Dave Grohl recorded the Foo Fighters' debut, ""Foo Fighters,"" by himself.",True,"[""False""]"
boolean,hard,Entertainment: Music,"The singer Billie Holiday was also known as ""Lady Day"".",True,"[""False""]"
boolean,medium,Entertainment: Music,"""Neutral Milk Hotel"" is a real band.",True,"[""False""]"
boolean,medium,Entertainment: Music,"The cover of The Beatles album ""Abbey Road"" featured a Volkswagen Beetle in the background.",True,"[""False""]"
boolean,medium,Entertainment: Music,"Scottish producer Calvin Harris is from the town of Dumfries, Scotland.",True,"[""False""]"
boolean,easy,Entertainment: Music,The music group Daft Punk got their name from a negative review they recieved.,True,"[""False""]"
boolean,easy,Entertainment: Music,"The music video to The Buggle's ""Video Killed the Radio Star"" was the first music video to broadcast on MTV.",True,"[""False""]"
boolean,medium,Entertainment: Music,"Pink Guy's debut album was ""Pink Season"".",False,"[""True""]"
boolean,medium,Entertainment: Music,"Green Day's album 'American Idiot' is considered a ""punk rock opera.""",True,"[""False""]"
boolean,medium,Entertainment: Music,"For his performance at ComplexCon 2016 in Long Beach, California, Skrillex revived his ""Mothership"" set piece for one night only.",True,"[""False""]"
boolean,easy,Entertainment: Video Games,"Big the Cat is a playable character in ""Sonic Generations"".",False,"[""True""]"
boolean,medium,Entertainment: Video Games,Metal Gear Solid V: The Phantom Pain runs on the Fox Engine.,True,"[""False""]"
boolean,easy,Entertainment: Video Games,"In ""Super Mario Bros."", the clouds and bushes have the same artwork and are just different colors.",True,"[""False""]"
boolean,easy,Entertainment: Video Games,Pac-Man was invented by the designer Toru Iwatani while he was eating pizza.,True,"[""False""]"
boolean,medium,Entertainment: Video Games,"In Rocket League, you can play Basketball.",True,"[""False""]"
boolean,easy,Entertainment: Video Games,"In Terraria, you can craft the Cell Phone pre-hardmode.",True,"[""False""]"
boolean,easy,Entertainment: Video Games,Nintendo's Luigi was originally just called Green Mario?,False,"[""True""]"
boolean,easy,Entertainment: Video Games,"The game ""Jetpack Joyride"" was created by ""Redbrick Studios"".",False,"[""True""]"
boolean,easy,Entertainment: Video Games,"In Until Dawn, both characters Sam and Mike cannot be killed under any means until the final chapter of the game.",True,"[""False""]"
boolean,medium,Entertainment: Video Games,Amazon acquired Twitch in August 2014 for $970 million dollars.,True,"[""False""]"
boolean,hard,Entertainment: Video Games,"In ""Minecraft"", gold tools are faster than diamond tools.",True,"[""False""]"
boolean,easy,Entertainment: Video Games,"""Half-Life 2"" runs on the Source Engine.",True,"[""False""]"
boolean,medium,Entertainment: Video Games,"In Monster Hunter Generations, guild style is a type of hunting style.",True,"[""False""]"
boolean,easy,Entertainment: Video Games,"In RuneScape, one must complete the ""Dragon Slayer"" quest before equipping Rune Platelegs.",False,"[""True""]"
boolean,medium,Entertainment: Video Games,"In the game ""Until Dawn"" Emily is the only playable character who can be killed by another playable character directly.",True,"[""False""]"
boolean,easy,Entertainment: Video Games,"The ghosts in ""Pac-Man"" and ""Ms. Pac-Man"" have completely different behavior.",True,"[""False""]"
boolean,medium,Entertainment: Video Games,"In ""League of Legends"", there exists four different types of Dragon.",False,"[""True""]"
boolean,medium,Entertainment: Video Games,"TF2: The Heavy's voice actor, Gary Schwartz, voices the Demoman as well",True,"[""False""]"
boolean,medium,Entertainment: Video Games,"During pre-production of ""Super Mario Bros."", Mario originally was meant to shoot bullets.",True,"[""False""]"
boolean,easy,Entertainment: Video Games,"The song ""Megalovania"" by Toby Fox made its third appearence in the 2015 RPG ""Undertale"".",True,"[""False""]"
boolean,easy,Entertainment: Video Games,"The ultimate phrase used by Pharah from Overwatch is: ""Justice rains from above!""",True,"[""False""]"
boolean,easy,Entertainment: Video Games,"In Sonic the Hedgehog universe, Tails' real name is Miles Prower.",True,"[""False""]"
boolean,easy,Entertainment: Video Games,"The game ""Pocket Morty"" has a Morty called ""Pocket Mortys Morty""?",True,"[""False""]"
boolean,easy,Entertainment: Video Games,"There are 6 legendary cards in ""Clash Royale"".",False,"[""True""]"
boolean,easy,Entertainment: Video Games,"In ""Super Mario 64"", collecting 100 coins on a level will give you a 1-UP.",False,"[""True""]"
boolean,easy,Entertainment: Video Games,"In ""Super Mario 3D World"", the Double Cherry power-up originated from a developer accidentally making two characters controllable.",True,"[""False""]"
boolean,easy,Entertainment: Video Games,"The names of Tom Nook's cousins in the Animal Crossing franchise are named ""Timmy"" and ""Jimmy"".",False,"[""True""]"
boolean,medium,Entertainment: Video Games,Resident Evil 4 was originally meant to be a Nintendo GameCube exclusive.,True,"[""False""]"
boolean,easy,Entertainment: Video Games,Luigi is taller than Mario?,True,"[""False""]"
boolean,easy,Entertainment: Video Games,"In the video game ""Splatoon"", the playable characters were originally going to be rabbits instead of squids.",True,"[""False""]"
boolean,hard,Entertainment: Video Games,Unturned originally started as a Roblox game.,True,"[""False""]"
boolean,easy,Entertainment: Video Games,"In Resident Evil 4, the Chicago Typewriter has infinite ammo.",True,"[""False""]"
boolean,medium,Entertainment: Video Games,"In ""Overwatch,"" an allied McCree will say ""Step right up"" upon using his ultimate ability Deadeye.",True,"[""False""]"
boolean,easy,Entertainment: Video Games,"In the Monster Hunter Series, it is possible to capture Elder Dragons.",False,"[""True""]"
boolean,easy,Entertainment: Video Games,"In ""Undertale"", the main character of the game is Sans.",False,"[""True""]"
boolean,hard,Entertainment: Video Games,"In ""Call Of Duty: World At War"", the first appearance of the ""PPSH-41"" in ""Zombies"" was in the map ""Der Riese"".",False,"[""True""]"
boolean,easy,Entertainment: Video Games,"The Mann Co. Store from Team Fortress 2 has the slogan ""We hire mercenaries and get in fights"".",False,"[""True""]"
boolean,easy,Entertainment: Video Games,"In Team Fortress 2, being disguised as a scout or medic results in a speed boost.",False,"[""True""]"
boolean,hard,Entertainment: Video Games,"In Undertale, having a ""Fun Value"" set to 56-57 will play the ""Wrong Number Song Call"".",False,"[""True""]"
boolean,hard,Entertainment: Video Games,"All of these maps were in ""Tom Clancy's Rainbow Six Siege"" on its initial release: House, Clubhouse, Border, Consulate.",False,"[""True""]"
boolean,medium,Entertainment: Video Games,Pistons were added to Minecraft in Beta 1.5.,False,"[""True""]"
boolean,easy,Entertainment: Video Games,Solid Snake is actually a clone from the DNA of Big Boss in the Metal Gear Solid series' history.,True,"[""False""]"
boolean,medium,Entertainment: Video Games,The ADAM collecters in the Bioshock series are known as Little Sisters.,True,"[""False""]"
boolean,medium,Entertainment: Video Games,"In the game ""Subnautica"", a ""Cave Crawler"" will attack you.",True,"[""False""]"
boolean,medium,Entertainment: Video Games,"In ""Starbound"", the track played by the Decorated Music Box is named ""Atlas"".",True,"[""False""]"
boolean,easy,Entertainment: Video Games,"In Pokémon Sun and Moon, a male Salandit can evolve to a Salazzle.",False,"[""True""]"
boolean,easy,Entertainment: Video Games,"In ""Sonic Adventure"", you are able to transform into Super Sonic at will after completing the main story.",False,"[""True""]"
boolean,easy,Entertainment: Video Games,"The Konami Code is known as Up, Up, Down, Down, Left, Right, Right, Left, B, A, Start.",False,"[""True""]"
boolean,easy,Entertainment: Video Games,"The main character in the ""Half-Life"" franchise is named Morgan Freeman.",False,"[""True""]"
boolean,easy,Entertainment: Video Games,"""Resident Evil 7"" is the first first-person Resident Evil game.",False,"[""True""]"
boolean,medium,Science & Nature,"""Tachycardia"" or ""Tachyarrhythmia"" refers to a resting heart-rate near or over 100 BPM.",True,"[""False""]"
boolean,medium,Science & Nature,The planet Mars has two moons orbiting it.,True,"[""False""]"
boolean,medium,Science & Nature,Type 1 diabetes is a result of the liver working improperly.,False,"[""True""]"
boolean,medium,Science & Nature,Pneumonoultramicroscopicsilicovolcanoconiosis is a synonym for the disease known as silicosis.,True,"[""False""]"
boolean,medium,Science & Nature,Anatomy considers the forms of macroscopic structures such as organs and organ systems.,True,"[""False""]"
boolean,medium,Science & Nature,"Like with the Neanderthals, Homo sapiens sapiens also interbred with the Denisovans.",True,"[""False""]"
boolean,easy,Science & Nature,Igneous rocks are formed by excessive heat and pressure.,False,"[""True""]"
boolean,easy,Science & Nature,"Water always boils at 100°C, 212°F, 373.15K, no matter where you are.",False,"[""True""]"
boolean,medium,Science & Nature,A person can get sunburned on a cloudy day.,True,"[""False""]"
boolean,medium,Science & Nature,"The ""Gympie Stinger"" is the deadliest plant in the world.",False,"[""True""]"
boolean,hard,Science & Nature,The value of one Calorie is different than the value of one calorie.,True,"[""False""]"
boolean,medium,Science & Nature,"In the periodic table, Potassium's symbol is the letter K.",True,"[""False""]"
boolean,hard,Science & Nature,It was once believed that injecting shark cartilage into people would prevent them from contracting cancer.,True,"[""False""]"
boolean,medium,Science & Nature,"Scientists accidentally killed the once known world's oldest living creature, a mollusc, known to be aged as 507 years old.",True,"[""False""]"
boolean,medium,Science & Nature,A defibrillator is used to start up a heartbeat once a heart has stopped beating.,False,"[""True""]"
boolean,medium,Science & Nature,Steel is an alloy of Iron and Carbon.,True,"[""False""]"
boolean,easy,Science & Nature,An atom contains a nucleus.,True,"[""False""]"
boolean,medium,Science & Nature,The Doppler effect applies to light.,True,"[""False""]"
boolean,easy,Science & Nature,A plant that has a life cycle for more than a year is known as an annual.,False,"[""True""]"
boolean,easy,Science & Nature,An Astronomical Unit is the distance between Earth and the Moon.,False,"[""True""]"
boolean,medium,Science: Computers,All program codes have to be compiled into an executable file in order to be run. This file can then be executed on any machine.,False,"[""True""]"
boolean,easy,Science: Computers,"""HTML"" stands for Hypertext Markup Language.",True,"[""False""]"
boolean,medium,Science: Computers,"FLAC stands for ""Free Lossless Audio Condenser""'",False,"[""True""]"
boolean,easy,Science: Computers,Linux was first created as an alternative to Windows XP.,False,"[""True""]"
boolean,easy,Science: Computers,Ada Lovelace is often considered the first computer programmer.,True,"[""False""]"
boolean,medium,Science: Computers,"The common software-programming acronym ""I18N"" comes from the term ""Interlocalization"".",False,"[""True""]"
boolean,medium,Science: Computers,The last Windows operating system to be based on the Windows 9x kernel was Windows 98.,False,"[""True""]"
boolean,hard,Science: Computers,DHCP stands for Dynamic Host Configuration Port.,False,"[""True""]"
boolean,medium,Science: Computers,"The very first recorded computer ""bug"" was a moth found inside a Harvard Mark II computer.",True,"[""False""]"
boolean,easy,Science: Computers,Pointers were not used in the original C programming language; they were added later on in C++.,False,"[""True""]"
boolean,easy,Science: Computers,The Windows ME operating system was released in the year 2000.,True,"[""False""]"
boolean,easy,Science: Computers,RAM stands for Random Access Memory.,True,"[""False""]"
boolean,medium,Science: Computers,"A Boolean value of ""0"" represents which of these words?",False,"[""True""]"
boolean,medium,Science: Computers,It's not possible to format a write-protected DVD-R Hard Disk.,True,"[""False""]"
boolean,easy,Science: Computers,"The Python programming language gets its name from the British comedy group ""Monty Python.""",True,"[""False""]"
boolean,easy,Science: Computers,Linus Torvalds created Linux and Git.,True,"[""False""]"
boolean,medium,Science: Computers,"Linus Sebastian is the creator of the Linux kernel, which went on to be used in Linux, Android, and Chrome OS.",False,"[""True""]"
boolean,medium,Science: Computers,The HTML5 standard was published in 2014.,True,"[""False""]"
boolean,easy,Science: Computers,Time on Computers is measured via the EPOX System.,False,"[""True""]"
boolean,easy,Science: Computers,The Windows 7 operating system has six main editions.,True,"[""False""]"
boolean,easy,Geography,Tokyo is the capital of Japan.,True,"[""False""]"
boolean,medium,Geography,Antarctica is the largest desert in the world.,True,"[""False""]"
boolean,medium,Geography,The Sonoran Desert is located in eastern Africa.,False,"[""True""]"
boolean,medium,Geography,The capital of the US State Ohio is the city of Chillicothe.,False,"[""True""]"
boolean,medium,Geography,Is Tartu the capital of Estonia?,False,"[""True""]"
boolean,hard,Geography,The two largest ethnic groups of Belgium are Flemish and Walloon.,True,"[""False""]"
boolean,easy,Geography,Greenland is covered with grass and Iceland covered with ice.,False,"[""True""]"
boolean,easy,Geography,Nova Scotia is on the east coast of Canada.,True,"[""False""]"
boolean,easy,Geography,There are no deserts in Europe.,True,"[""False""]"
boolean,easy,Geography,"Rhode Island is actually located on the US mainland, despite its name.",True,"[""False""]"
boolean,easy,Geography,California is larger than Japan.,True,"[""False""]"
boolean,easy,Geography,St. Louis is the capital of the US State Missouri.,False,"[""True""]"
boolean,medium,Geography,The Southeast Asian island of Borneo is politically divided among 3 countries.,True,"[""False""]"
boolean,easy,Geography,New Haven is the capital city of the state of Connecticut in the United States.,False,"[""True""]"
boolean,hard,Geography,"Switzerland has four national languages, English being one of them.",False,"[""True""]"
boolean,easy,Geography,Vatican City is a country.,True,"[""False""]"
boolean,medium,Geography,Gothenburg is the capital of Sweden.,False,"[""True""]"
boolean,easy,Geography,Hungary is the only country in the world beginning with H.,False,"[""True""]"
boolean,medium,Geography,"There exists an island named ""Java"".",True,"[""False""]"
boolean,medium,Geography,Japan has left-hand side traffic.,True,"[""False""]"
boolean,easy,Geography,Alaska is the largest state in the United States.,True,"[""False""]"
boolean,easy,Geography,San Marino is the only country completely surrounded by another country.,False,"[""True""]"
boolean,medium,Geography,"The title of the 1969 film ""Krakatoa, East_of Java"" is incorrect, as Krakatoa is in fact west of Java.",True,"[""False""]"
boolean,medium,Geography,"""Mongolia"" was a part of the now non-existent U.S.S.R.",False,"[""True""]"
boolean,medium,Geography,You could walk from Norway to North Korea while only passing through Russia.,True,"[""False""]"
boolean,easy,Geography,A group of islands is called an 'archipelago'.,True,"[""False""]"
boolean,medium,Geography,Seoul is the capital of North Korea.,False,"[""True""]"
boolean,medium,Geography,Liechtenstein does not have an airport.,True,"[""False""]"
boolean,easy,Geography,Ottawa is the capital of Canada.,True,"[""False""]"
boolean,easy,Geography,"There is an island in Japan called Ōkunoshima, A.K.A. ""Rabbit Island"", so named because of it's huge population of rabbits.",True,"[""False""]"
boolean,medium,Geography,"There are no roads in/out of Juneau, Alaska.",True,"[""False""]"
boolean,medium,Geography,The flag of South Africa features 7 colours.,False,"[""True""]"
boolean,easy,Geography,Greenland is almost as big as Africa.,False,"[""True""]"
boolean,easy,Geography,Toronto is the capital city of the North American country of Canada.,False,"[""True""]"
boolean,medium,Geography,"The longest place named in the United States is Lake Chargoggagoggmanchauggagoggchaubunagungamaugg, located near Webster, MA.",True,"[""False""]"
boolean,medium,Geography,Vietnam is the only country in the world that starts with V.,False,"[""True""]"
boolean,easy,Geography,The Republic of Malta is the smallest microstate worldwide.,False,"[""True""]"
boolean,medium,Geography,The surface area of Russia is slightly larger than that of the dwarf planet Pluto.,True,"[""False""]"
boolean,hard,Geography,Only one country in the world starts with the letter Q.,True,"[""False""]"
boolean,easy,Geography,There is a city called Rome in every continent on Earth.,False,"[""True""]"
boolean,hard,History,The fourth funnel of the RMS Titanic was fake designed to make the ship look more powerful and symmetrical.,True,"[""False""]"
boolean,medium,History,"Sargon II, a king of the Neo-Assyrian Empire, was a direct descendant of Sargon of Akkad.",False,"[""True""]"
boolean,easy,History,Former United States Presidents John Adams and Thomas Jefferson died within hours of each other.,True,"[""False""]"
boolean,hard,History,Japan was part of the Allied Powers during World War I.,True,"[""False""]"
boolean,easy,History,"In World War ll, Great Britian used inflatable tanks on the ports of Great Britain to divert Hitler away from Normandy/D-day landing.",True,"[""False""]"
boolean,easy,History,Thomas Crapper was a plumber who invented the flushing toilet.,False,"[""True""]"
boolean,medium,History,Abraham Lincoln was the first U.S. President to be born outside the borders of the thirteen original states.,True,"[""False""]"
boolean,easy,History,Adolf Hitler was tried at the Nuremberg trials.,False,"[""True""]"
boolean,medium,History,"Sir Issac Newton served as a Member of Parliament, but the only recorded time he spoke was to complain about a draft in the chambers.",True,"[""False""]"
boolean,medium,History,The M41 Walker Bulldog remains in service in some countries to this day.,True,"[""False""]"
boolean,hard,History,The Kingdom of Prussia briefly held land in Estonia.,False,"[""True""]"
boolean,medium,History,"In World War II, Hawker Typhoons served in the Pacific theater.",False,"[""True""]"
boolean,medium,History,The two atomic bombs dropped on Japan by the United States in August 1945 were named 'Little Man' and 'Fat Boy'.,False,"[""True""]"
boolean,easy,History,The Tiananmen Square protests of 1989 were held in Hong Kong.,False,"[""True""]"
boolean,hard,History,"The Battle of Trafalgar took place on October 23rd, 1805",False,"[""True""]"
boolean,medium,History,Theodore Roosevelt Jr. was the only General involved in the initial assault on D-Day.,True,"[""False""]"
boolean,easy,History,The Cold War ended with Joseph Stalin's death.,False,"[""True""]"
boolean,medium,History,The first televised presidential debate was between Jimmy Carter and Gerald Ford.,False,"[""True""]"
boolean,medium,History,The Hundred Years' War was fought for more than a hundred years.,True,"[""False""]"
boolean,easy,History,The United States Department of Homeland Security was formed in response to the September 11th attacks.,True,"[""False""]"
